mode,time_bin_s,served_ues,served_ues_smooth
PF,4.75,5.067415730337078,5.075010224288605
PF,4.8500000000000005,5.3875,5.181553106693555
PF,4.95,5.089743589743589,5.100257667169433
PF,5.050000000000001,4.823529411764706,5.087974117385882
PF,5.15,5.35064935064935,5.319598049009813
PF,5.25,5.7846153846153845,5.586754911754912
PF,5.3500000000000005,5.625,5.585612535612536
PF,5.45,5.347222222222222,5.428491744756805
PF,5.550000000000001,5.313253012048193,5.253913685685075
PF,5.65,5.10126582278481,5.158749076631577
PF,5.75,5.061728395061729,5.059026241629598
PF,5.8500000000000005,5.014084507042254,4.95119689329392
PF,5.95,4.777777777777778,4.968120761606677
PF,6.050000000000001,5.1125,5.045617706747844
PF,6.15,5.2465753424657535,5.299467061720795
PF,6.25,5.53932584269663,5.486010777567789
PF,6.3500000000000005,5.672131147540983,5.194983655380409
PF,6.45,4.373493975903615,5.072500041148199
PF,6.550000000000001,5.171875,4.820343875502008
PF,6.65,4.9156626506024095,4.956571956141397
PF,6.75,4.782178217821782,4.793589232564162
PF,6.8500000000000005,4.682926829268292,5.026829887491563
PF,6.95,5.615384615384615,5.031255330035818
PF,7.050000000000001,4.795454545454546,5.256604506604506
PF,7.15,5.358974358974359,4.983965752953094
PF,7.25,4.7974683544303796,5.0888142378015795
PF,7.3500000000000005,5.11,4.74937589836324
PF,7.45,4.34065934065934,4.6886813186813185
PF,7.550000000000001,4.615384615384615,4.483593599383073
PF,7.65,4.494736842105263,4.813078460513505
PF,7.75,5.329113924050633,5.146839144274187
