mode,time_bin_s,backlog_mbit,backlog_mbit_smooth
MR,14.75,2236.5756872955976,2236.5387204815556
MR,14.850000000000001,2269.230778,2269.265854431866
MR,14.950000000000001,2301.991098,2301.991098
MR,15.05,2334.751418,2334.7846040496897
MR,15.15,2367.6112961490685,2367.580000481555
MR,15.25,2400.3772872955974,2400.3403204815554
MR,15.350000000000001,2433.032378,2433.067454431866
MR,15.450000000000001,2465.792698,2465.7926979999997
MR,15.55,2498.553018,2498.5862040496895
MR,15.65,2531.4128961490683,2531.3816004815553
MR,15.75,2564.1788872955976,2564.141920481555
MR,15.850000000000001,2596.8339779999997,2596.8690544318656
MR,15.950000000000001,2629.594298,2629.594298
MR,16.05,2662.3546180000003,2662.3878040496897
MR,16.150000000000002,2695.2144961490685,2695.1832004815556
MR,16.25,2727.9804872955974,2727.976706531245
MR,16.35,2760.7351361490682,2760.738916913421
MR,16.45,2793.5011272955976,2793.464160481555
MR,16.55,2826.156218,2826.224480481555
MR,16.650000000000002,2859.0160961490683,2858.9848004815553
MR,16.75,2891.782087295597,2891.7783065312447
MR,16.85,2924.5367361490685,2924.540516913421
MR,16.95,2957.3027272955974,2957.2657604815554
MR,17.05,2989.957818,2990.0260804815553
MR,17.150000000000002,3022.8176961490685,3022.7863164899413
MR,17.25,3055.5834353207547,3055.57961516903
MR,17.35,3088.3377140372672,3088.341615572171
MR,17.45,3121.1036973584905,3121.0667344652525
MR,17.55,3153.7587919999996,3153.827054465253
MR,17.650000000000002,3186.618674037267,3186.5873744652527
MR,17.75,3219.3846573584906,3219.3808818110083
MR,17.85,3252.139314037267,3252.1430895847493
MR,17.95,3284.9052973584908,3284.8683344652527
MR,18.05,3317.5603920000003,3317.6286544652526
MR,18.150000000000002,3350.420274037267,3350.388974465253
MR,18.25,3383.1862573584904,3383.1824818110085
MR,18.35,3415.9409140372672,3411.5224788677683
MR,18.45,3435.440265207547,3431.051750914938
MR,18.55,3441.7740734999998,3441.7873277927847
MR,18.650000000000002,3448.1476446708075,3448.143807792785
MR,18.75,3454.509705207547,3454.505984849721
MR,18.85,3460.860604670808,3460.8643250286336
MR,18.95,3467.222665207547,3467.213247792785
MR,19.05,3473.5564735,3473.5697277927848
MR,19.150000000000002,3479.9300446708075,3479.926207792785
MR,19.25,3486.292105207547,3486.2883848497204
MR,19.35,3492.643004670807,3492.646725028633
MR,19.450000000000003,3499.005065207547,3498.9956477927844
MR,19.55,3505.3388735,3505.352127792785
MR,19.650000000000002,3511.712444670807,3511.7086077927847
MR,19.75,3518.0745052075467,3518.0707848497204
MR,19.85,3524.4254046708074,3524.4291250286337
MR,19.950000000000003,3530.7874652075475,3530.778047792785
MR,20.05,3537.1212735,3537.134527792785
MR,20.150000000000002,3543.494844670807,3543.491007792785
MR,20.25,3549.8569052075477,3549.853184849721
MR,20.35,3556.2078046708075,3556.2115250286347
MR,20.450000000000003,3562.5698652075475,3562.560447792785
MR,20.55,3568.9036735,3568.916927792785
