figure,panel,scheduler,ue,time_s,rbg_share_pct
fig06,(a) RR,RR,2,5.65,11.10886668846738
fig06,(a) RR,RR,2,5.75,11.110628947918965
fig06,(a) RR,RR,2,5.8500000000000005,11.113291533822393
fig06,(a) RR,RR,2,5.95,11.112699320246492
fig06,(a) RR,RR,2,6.050000000000001,11.110176870443242
fig06,(a) RR,RR,2,6.15,11.107000452172484
fig06,(a) RR,RR,2,6.25,11.108889133306448
fig06,(a) RR,RR,2,6.3500000000000005,11.112015549963994
fig06,(a) RR,RR,2,6.45,11.112972826703128
fig06,(a) RR,RR,2,6.550000000000001,11.1106730796753
fig06,(a) RR,RR,2,6.65,11.112749215736956
fig06,(a) RR,RR,2,6.75,11.110394314958688
fig06,(a) RR,RR,2,6.8500000000000005,11.110394314958688
fig06,(a) RR,RR,2,6.95,11.110572988486418
fig06,(a) RR,RR,2,7.050000000000001,11.115330285696546
fig06,(a) RR,RR,2,7.15,11.113902372591548
fig06,(a) RR,RR,2,7.25,11.11191873179389
fig06,(a) RR,RR,2,7.35,11.110709249452333
fig06,(a) RR,RR,2,7.45,11.109860489914398
fig06,(a) RR,RR,2,7.550000000000001,11.113069320616493
fig06,(a) RR,RR,2,7.65,11.11045938503734
fig06,(a) RR,RR,2,7.75,11.113147123574132
fig06,(a) RR,RR,2,7.85,11.107613053232845
fig06,(a) RR,RR,2,7.95,11.109756682367058
fig06,(a) RR,RR,2,8.05,11.1088831673426
fig06,(a) RR,RR,2,8.15,11.114071671300586
fig06,(a) RR,RR,2,8.25,11.109700048379294
fig06,(a) RR,RR,2,8.35,11.111665457184325
fig06,(a) RR,RR,2,8.450000000000001,11.110785833663192
fig06,(a) RR,RR,2,8.55,11.111634593201126
fig06,(a) RR,RR,2,8.65,11.110542699420554
fig06,(a) RR,RR,2,8.75,11.110616001380649
fig06,(a) RR,RR,2,8.85,11.11158146535505
fig06,(a) RR,RR,2,8.950000000000001,11.110262952110585
fig06,(a) RR,RR,2,9.05,11.111714330920456
fig06,(a) RR,RR,2,9.15,11.11258784594491
fig06,(a) RR,RR,2,9.25,11.111496662570184
fig06,(a) RR,RR,2,9.35,11.11149666257018
fig06,(a) RR,RR,2,9.45,11.111496662570184
fig06,(a) RR,RR,2,9.55,11.113906359189375
fig06,(a) RR,RR,2,9.65,11.10927213211225
fig06,(a) RR,RR,2,9.75,11.106584393575456
fig06,(a) RR,RR,2,9.85,11.109080150788197
fig06,(a) RR,RR,2,9.95,11.109330920651676
fig06,(a) RR,RR,2,10.05,11.11638623431076
fig06,(a) RR,RR,2,10.15,11.113890477098025
fig06,(a) RR,RR,2,10.25,11.109888190076868
fig06,(a) RR,RR,2,10.35,11.109198572952296
fig06,(a) RR,RR,2,10.45,11.108214330671217
fig06,(a) RR,RR,2,10.55,11.115955017657187
fig06,(a) RR,RR,2,10.65,11.111674635504668
fig06,(a) RR,RR,2,10.75,11.109620564657195
fig06,(a) RR,RR,2,10.85,11.10686794967296
fig06,(a) RR,RR,2,10.95,11.1099661310405
fig06,(a) RR,RR,2,11.05,11.109884747653126
fig06,(a) RR,RR,2,11.15,11.115101968163556
fig06,(a) RR,RR,2,11.25,11.109918472414025
fig06,(a) RR,RR,2,11.35,11.110350430393147
fig06,(a) RR,RR,2,11.45,11.105735634037522
fig06,(a) RR,RR,2,11.55,11.113982104548144
fig06,(a) RR,RR,2,11.65,11.115351329840472
fig06,(a) RR,RR,2,11.75,11.116443223621042
fig06,(a) RR,RR,2,11.85,11.10956597840275
fig06,(a) RR,RR,2,11.95,11.107167406436757
fig06,(a) RR,RR,2,12.05,11.10822570348562
fig06,(a) RR,RR,2,12.15,11.110888085998482
fig06,(a) RR,RR,2,12.25,11.113207547169813
fig06,(a) RR,RR,2,12.35,11.112149250120948
fig06,(a) RR,RR,2,12.45,11.109407756813418
fig06,(a) RR,RR,2,12.55,11.10896640185369
fig06,(a) RR,RR,2,12.65,11.107874508073118
