figure,panel,scheduler,time_s,value
fig05,(a) Effective number of UEs.,PF,4.3500000000000005,8.75294517355568
fig05,(a) Effective number of UEs.,PF,4.45,8.864673375926477
fig05,(a) Effective number of UEs.,PF,4.55,8.886940766721226
fig05,(a) Effective number of UEs.,PF,4.65,8.840094041889161
fig05,(a) Effective number of UEs.,PF,4.75,8.798977086272526
fig05,(a) Effective number of UEs.,PF,4.8500000000000005,8.81597947816608
fig05,(a) Effective number of UEs.,PF,4.95,8.853381308787315
fig05,(a) Effective number of UEs.,PF,5.050000000000001,8.89322044578878
fig05,(a) Effective number of UEs.,PF,5.15,8.91454046790678
fig05,(a) Effective number of UEs.,PF,5.25,8.893694551738536
fig05,(a) Effective number of UEs.,PF,5.3500000000000005,8.858763905818533
fig05,(a) Effective number of UEs.,PF,5.45,8.778109059546074
fig05,(a) Effective number of UEs.,PF,5.550000000000001,8.766491841004237
fig05,(a) Effective number of UEs.,PF,5.65,8.71488096308393
fig05,(a) Effective number of UEs.,PF,5.75,8.602057488104782
fig05,(a) Effective number of UEs.,PF,5.8500000000000005,8.597029744439046
fig05,(a) Effective number of UEs.,PF,5.95,8.574129869493156
fig05,(a) Effective number of UEs.,PF,6.050000000000001,8.688132932589127
fig05,(a) Effective number of UEs.,PF,6.15,8.620496280349636
fig05,(a) Effective number of UEs.,PF,6.25,8.51516968954705
fig05,(a) Effective number of UEs.,PF,6.3500000000000005,8.562792345942006
fig05,(a) Effective number of UEs.,PF,6.45,8.651484114456254
fig05,(a) Effective number of UEs.,PF,6.550000000000001,8.739013584406637
fig05,(a) Effective number of UEs.,PF,6.65,8.734442494463567
fig05,(a) Effective number of UEs.,PF,6.75,8.73672548747473
fig05,(a) Effective number of UEs.,PF,6.8500000000000005,8.850845064312068
fig05,(a) Effective number of UEs.,PF,6.95,8.796128385486028
fig05,(a) Effective number of UEs.,PF,7.050000000000001,8.706461127690936
fig05,(a) Effective number of UEs.,PF,7.15,8.730645632297602
fig05,(a) Effective number of UEs.,PF,7.25,8.757416133805497
fig05,(a) Effective number of UEs.,PF,7.35,8.818514487769066
fig05,(a) Effective number of UEs.,PF,7.45,8.569912690117757
fig05,(a) Effective number of UEs.,PF,7.550000000000001,8.564078759647044
fig05,(a) Effective number of UEs.,PF,7.65,8.599862422940285
fig05,(a) Effective number of UEs.,PF,7.75,8.718828317920718
fig05,(a) Effective number of UEs.,PF,7.85,8.645212732713343
fig05,(a) Effective number of UEs.,PF,7.95,8.581212672526421
fig05,(a) Effective number of UEs.,PF,8.05,8.686785078849026
fig05,(a) Effective number of UEs.,PF,8.15,8.709996931650494
fig05,(a) Effective number of UEs.,PF,8.25,8.74222289563568
fig05,(a) Effective number of UEs.,PF,8.35,8.691208122975013
fig05,(a) Effective number of UEs.,PF,8.450000000000001,8.778724442052688
fig05,(a) Effective number of UEs.,PF,8.55,8.817261686509644
fig05,(a) Effective number of UEs.,PF,8.65,8.902436004735092
fig05,(a) Effective number of UEs.,PF,8.75,8.773473419905669
fig05,(a) Effective number of UEs.,PF,8.85,8.476884733404837
fig05,(a) Effective number of UEs.,PF,8.950000000000001,8.330042515057693
fig05,(a) Effective number of UEs.,PF,9.05,8.41663855102401
fig05,(a) Effective number of UEs.,PF,9.15,8.619765916803273
fig05,(a) Effective number of UEs.,PF,9.25,8.743511198464104
fig05,(a) Effective number of UEs.,PF,9.35,8.681416946646856
fig05,(a) Effective number of UEs.,PF,9.45,8.466724560309617
fig05,(a) Effective number of UEs.,PF,9.55,8.409030623997431
fig05,(a) Effective number of UEs.,PF,9.65,8.52457546477445
fig05,(a) Effective number of UEs.,PF,9.75,8.78087007478514
fig05,(a) Effective number of UEs.,PF,9.85,8.747746173028753
fig05,(a) Effective number of UEs.,PF,9.95,8.7429644479608
fig05,(a) Effective number of UEs.,PF,10.05,8.761643550542944
fig05,(a) Effective number of UEs.,PF,10.15,8.787538210413828
fig05,(a) Effective number of UEs.,PF,10.25,8.693033573395342
fig05,(a) Effective number of UEs.,PF,10.35,8.714486173902847
